06,0
06,1
06,2
06,3
06,4
06,5
06,6
06,7
06,8
06,9
07,-1
07,0
07,1
07,2
07,3
07,4
07,5
07,6
07,7
07,8
07,9
08,-1
08,-2
08,0
08,1
09,-1
09,-2
09,0
10,-1
10,-2
11,-1
11,-2
11,-3
11,-4
12,-2
12,-3
12,-4
13,-2
13,-3
13,-4
14,-2
14,-3
14,-4
15,-2
15,-3
15,-4
20,-10
20,-5
20,-6
20,-7
20,-8
20,-9
21,-10
21,-5
21,-6
21,-7
21,-8
21,-9
22,-10
22,-5
22,-6
22,-7
22,-8
22,-9
23,-10
23,-5
23,-6
23,-7
23,-8
23,-9
24,-10
24,-5
24,-6
24,-7
24,-8
24,-9
25,-10
25,-5
25,-6
25,-7
25,-8
25,-9
26,-10
26,-5
26,-6
26,-7
26,-8
26,-9
27,-10
27,-5
27,-6
27,-7
27,-8
27,-9
28,-10
28,-5
28,-6
28,-7
28,-8
28,-9
29,-10
29,-5
29,-6
29,-7
29,-8
29,-9
30,-10
30,-5
30,-6
30,-7
30,-8
30,-9
